,timestamp_level_MU,volume_MU,mean_vwap_15_MU,hour_MU,minute_MU,day_of_week_MU,minutes_since_open_MU,session_progress_MU,timestamp_level_SPY_MU,mean_vwap_15_SPY_MU,pct_change_MU,10th_ptile_lag_10days_MU,change_lag_1010th_ptile_MU,30th_ptile_lag_10days_MU,change_lag_1030th_ptile_MU,50th_ptile_lag_10days_MU,change_lag_1050th_ptile_MU,70th_ptile_lag_10days_MU,change_lag_1070th_ptile_MU,90th_ptile_lag_10days_MU,change_lag_1090th_ptile_MU,rolling_avg_vol_10_MU,relative_volume_10_MU,volatility_10_MU,rolling_mean_10_MU,rolling_std_10_MU,z_score_10_MU,bb_width_10_MU,efficiency_ratio_10_MU,skew_10_MU,volume_force_10_MU,rsi_10_MU,rsi_divergence_10_MU,session_adj_rel_volume_10_MU,weekday_adj_vol_10_MU,10th_ptile_lag_25days_MU,change_lag_2510th_ptile_MU,30th_ptile_lag_25days_MU,change_lag_2530th_ptile_MU,50th_ptile_lag_25days_MU,change_lag_2550th_ptile_MU,70th_ptile_lag_25days_MU,change_lag_2570th_ptile_MU,90th_ptile_lag_25days_MU,change_lag_2590th_ptile_MU,rolling_avg_vol_25_MU,relative_volume_25_MU,volatility_25_MU,rolling_mean_25_MU,rolling_std_25_MU,z_score_25_MU,bb_width_25_MU,efficiency_ratio_25_MU,skew_25_MU,volume_force_25_MU,rsi_25_MU,rsi_divergence_25_MU,session_adj_rel_volume_25_MU,weekday_adj_vol_25_MU,10th_ptile_lag_50days_MU,change_lag_5010th_ptile_MU,30th_ptile_lag_50days_MU,change_lag_5030th_ptile_MU,50th_ptile_lag_50days_MU,change_lag_5050th_ptile_MU,70th_ptile_lag_50days_MU,change_lag_5070th_ptile_MU,90th_ptile_lag_50days_MU,change_lag_5090th_ptile_MU,rolling_avg_vol_50_MU,relative_volume_50_MU,volatility_50_MU,rolling_mean_50_MU,rolling_std_50_MU,z_score_50_MU,bb_width_50_MU,efficiency_ratio_50_MU,skew_50_MU,volume_force_50_MU,rsi_50_MU,rsi_divergence_50_MU,session_adj_rel_volume_50_MU,weekday_adj_vol_50_MU,mm_diff_10_25_MU,risk_adj_mm_diff_10_25_MU,mm_diff_10_50_MU,risk_adj_mm_diff_10_50_MU,mm_diff_25_50_MU,risk_adj_mm_diff_25_50_MU,15th_ptile_lead_15days_MU,change_lead_15_15th_ptile_MU,85th_ptile_lead_15days_MU,change_lead_15_85th_ptile_MU,days_since_earnings_MU,days_before_earnings_MU,volatility_10_x_earn_prox_MU,relative_volume_10_x_earn_prox_MU,z_score_10_x_earn_prox_MU,bb_width_10_x_earn_prox_MU,efficiency_ratio_10_x_earn_prox_MU,rsi_10_x_earn_prox_MU,change_lag_10_50th_ptile_x_earn_prox_MU,volatility_Mon_Interact_MU,volatility_Fri_Interact_MU,relative_volume_Mon_Interact_MU,relative_volume_Fri_Interact_MU,z_score_Mon_Interact_MU,z_score_Fri_Interact_MU,bb_width_Mon_Interact_MU,bb_width_Fri_Interact_MU,efficiency_ratio_Mon_Interact_MU,efficiency_ratio_Fri_Interact_MU,rsi_Mon_Interact_MU,rsi_Fri_Interact_MU,pct_chg_50th_Mon_Interact_MU,pct_chg_50th_Fri_Interact_MU,is_open_30m_MU,is_close_30m_MU,is_mid_day_MU,volatility_Open30m_MU,volatility_Close30m_MU,volatility_MidDay_MU,relative_volume_Open30m_MU,relative_volume_Close30m_MU,relative_volume_MidDay_MU,z_score_Open30m_MU,z_score_Close30m_MU,z_score_MidDay_MU,bb_width_Open30m_MU,bb_width_Close30m_MU,bb_width_MidDay_MU,efficiency_ratio_Open30m_MU,efficiency_ratio_Close30m_MU,efficiency_ratio_MidDay_MU,rsi_Open30m_MU,rsi_Close30m_MU,rsi_MidDay_MU,pct_chg_50th_Open30m_MU,pct_chg_50th_Close30m_MU,pct_chg_50th_MidDay_MU
0,2025-11-14 09:30:00,4161955.0,0.3576551010129188,9,30,4,0,0.0,2025-11-14 09:30:00-05:00,665.0798034094059,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.0790700646036871,0.3533000955719554,-0.012176550617143563,141.77013888888888,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,2025-11-14 09:45:00,4329933.0,0.37210919415060184,9,45,4,15,0.038461538461538464,2025-11-14 09:45:00-05:00,667.9444035850911,0.04041349640127434,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.11484237893707426,0.3533000955719554,-0.050547255682787354,141.78055555555557,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
2,2025-11-14 10:00:00,2158055.0,0.3706271086402761,10,0,4,30,0.07692307692307693,2025-11-14 10:00:00-05:00,667.885488086589,-0.003982931713656934,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.11130275851010475,0.3533000955719554,-0.04675052813025063,141.79097222222222,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2025-11-14 10:15:00,1320302.0,0.3690911587158427,10,15,4,45,0.11538461538461539,2025-11-14 10:15:00-05:00,668.743254971922,-0.004144192069674424,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.10760450015664073,0.3533000955719554,-0.04278363968085339,141.80138888888888,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
4,2025-11-14 10:30:00,1326636.0,0.3700425802190856,10,30,4,60,0.15384615384615385,2025-11-14 10:30:00-05:00,670.2861267129795,0.0025777412456942095,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.1098989503451717,0.3533000955719554,-0.045244751664032044,141.81180555555557,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
5,2025-11-14 10:45:00,1780267.0,0.3746056030317105,10,45,4,75,0.19230769230769232,2025-11-14 10:45:00-05:00,672.136433517078,0.012331075007431025,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.12074115708806585,0.3533000955719554,-0.05687450291006873,141.82222222222222,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6,2025-11-14 11:00:00,1097449.0,0.3755498324945825,11,0,4,90,0.23076923076923078,2025-11-14 11:00:00-05:00,671.7795569338866,0.0025205962090004697,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.12295184135186511,0.3533000955719554,-0.05924576446974735,141.83263888888888,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
7,2025-11-14 11:15:00,1389502.0,0.37599219713759346,11,15,4,105,0.2692307692307692,2025-11-14 11:15:00-05:00,673.5903322615422,0.0011779119699575347,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.12398371142405658,0.3533000955719554,-0.06035258640575973,141.84305555555557,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
8,2025-11-14 11:30:00,942681.0,0.3767324425791163,11,30,4,120,0.3076923076923077,2025-11-14 11:30:00-05:00,674.200127346699,0.001968778733064891,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.12570500481699798,0.3533000955719554,-0.062198909249075236,141.85347222222222,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
9,2025-11-14 11:45:00,1154810.0,0.3775591470409067,11,45,4,135,0.34615384615384615,2025-11-14 11:45:00-05:00,674.1995692310535,0.002194407405241572,,,,,,,,,,,,,,,,,,,,,88.38677384721157,,,1.0,,,,,,,,,,,,,,,,,,,,,88.37350857575935,,,1.0,,,,,,,,,,,,,,,,,,,,,88.36937091862977,,,1.0,,0.0,,0.0,,0.0,0.3293752890699891,-0.12761936334626037,0.3533000955719554,-0.06425232088556167,141.86388888888888,90.0,,,,,,0.9712832290902371,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,88.38677384721157,0.0,,0,0,1,,,,,,,,,,,,,,,,0.0,0.0,88.38677384721157,,,
