,timestamp_level_GCTS,volume_GCTS,mean_vwap_15_GCTS,hour_GCTS,minute_GCTS,day_of_week_GCTS,minutes_since_open_GCTS,session_progress_GCTS,timestamp_level_SPY_GCTS,mean_vwap_15_SPY_GCTS,pct_change_GCTS,10th_ptile_lag_10days_GCTS,change_lag_1010th_ptile_GCTS,30th_ptile_lag_10days_GCTS,change_lag_1030th_ptile_GCTS,50th_ptile_lag_10days_GCTS,change_lag_1050th_ptile_GCTS,70th_ptile_lag_10days_GCTS,change_lag_1070th_ptile_GCTS,90th_ptile_lag_10days_GCTS,change_lag_1090th_ptile_GCTS,rolling_avg_vol_10_GCTS,relative_volume_10_GCTS,volatility_10_GCTS,rolling_mean_10_GCTS,rolling_std_10_GCTS,z_score_10_GCTS,bb_width_10_GCTS,efficiency_ratio_10_GCTS,skew_10_GCTS,volume_force_10_GCTS,rsi_10_GCTS,rsi_divergence_10_GCTS,session_adj_rel_volume_10_GCTS,weekday_adj_vol_10_GCTS,10th_ptile_lag_25days_GCTS,change_lag_2510th_ptile_GCTS,30th_ptile_lag_25days_GCTS,change_lag_2530th_ptile_GCTS,50th_ptile_lag_25days_GCTS,change_lag_2550th_ptile_GCTS,70th_ptile_lag_25days_GCTS,change_lag_2570th_ptile_GCTS,90th_ptile_lag_25days_GCTS,change_lag_2590th_ptile_GCTS,rolling_avg_vol_25_GCTS,relative_volume_25_GCTS,volatility_25_GCTS,rolling_mean_25_GCTS,rolling_std_25_GCTS,z_score_25_GCTS,bb_width_25_GCTS,efficiency_ratio_25_GCTS,skew_25_GCTS,volume_force_25_GCTS,rsi_25_GCTS,rsi_divergence_25_GCTS,session_adj_rel_volume_25_GCTS,weekday_adj_vol_25_GCTS,10th_ptile_lag_50days_GCTS,change_lag_5010th_ptile_GCTS,30th_ptile_lag_50days_GCTS,change_lag_5030th_ptile_GCTS,50th_ptile_lag_50days_GCTS,change_lag_5050th_ptile_GCTS,70th_ptile_lag_50days_GCTS,change_lag_5070th_ptile_GCTS,90th_ptile_lag_50days_GCTS,change_lag_5090th_ptile_GCTS,rolling_avg_vol_50_GCTS,relative_volume_50_GCTS,volatility_50_GCTS,rolling_mean_50_GCTS,rolling_std_50_GCTS,z_score_50_GCTS,bb_width_50_GCTS,efficiency_ratio_50_GCTS,skew_50_GCTS,volume_force_50_GCTS,rsi_50_GCTS,rsi_divergence_50_GCTS,session_adj_rel_volume_50_GCTS,weekday_adj_vol_50_GCTS,mm_diff_10_25_GCTS,risk_adj_mm_diff_10_25_GCTS,mm_diff_10_50_GCTS,risk_adj_mm_diff_10_50_GCTS,mm_diff_25_50_GCTS,risk_adj_mm_diff_25_50_GCTS,15th_ptile_lead_15days_GCTS,change_lead_15_15th_ptile_GCTS,85th_ptile_lead_15days_GCTS,change_lead_15_85th_ptile_GCTS,days_since_earnings_GCTS,days_before_earnings_GCTS,volatility_10_x_earn_prox_GCTS,relative_volume_10_x_earn_prox_GCTS,z_score_10_x_earn_prox_GCTS,bb_width_10_x_earn_prox_GCTS,efficiency_ratio_10_x_earn_prox_GCTS,rsi_10_x_earn_prox_GCTS,change_lag_10_50th_ptile_x_earn_prox_GCTS,volatility_Mon_Interact_GCTS,volatility_Fri_Interact_GCTS,relative_volume_Mon_Interact_GCTS,relative_volume_Fri_Interact_GCTS,z_score_Mon_Interact_GCTS,z_score_Fri_Interact_GCTS,bb_width_Mon_Interact_GCTS,bb_width_Fri_Interact_GCTS,efficiency_ratio_Mon_Interact_GCTS,efficiency_ratio_Fri_Interact_GCTS,rsi_Mon_Interact_GCTS,rsi_Fri_Interact_GCTS,pct_chg_50th_Mon_Interact_GCTS,pct_chg_50th_Fri_Interact_GCTS,is_open_30m_GCTS,is_close_30m_GCTS,is_mid_day_GCTS,volatility_Open30m_GCTS,volatility_Close30m_GCTS,volatility_MidDay_GCTS,relative_volume_Open30m_GCTS,relative_volume_Close30m_GCTS,relative_volume_MidDay_GCTS,z_score_Open30m_GCTS,z_score_Close30m_GCTS,z_score_MidDay_GCTS,bb_width_Open30m_GCTS,bb_width_Close30m_GCTS,bb_width_MidDay_GCTS,efficiency_ratio_Open30m_GCTS,efficiency_ratio_Close30m_GCTS,efficiency_ratio_MidDay_GCTS,rsi_Open30m_GCTS,rsi_Close30m_GCTS,rsi_MidDay_GCTS,pct_chg_50th_Open30m_GCTS,pct_chg_50th_Close30m_GCTS,pct_chg_50th_MidDay_GCTS
0,2025-11-14 09:30:00,22875.0,0.0018769659915671125,9.0,30.0,4.0,0.0,0.0,2025-11-14 09:30:00-05:00,665.0798034094059,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019493769008601745,0.03857870074279016,0.002057680234182077,0.09627997706238835,183.76736111111111,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,2025-11-14 09:45:00,18918.0,0.0019069511333083076,9.0,45.0,4.0,15.0,0.038461538461538464,2025-11-14 09:45:00-05:00,667.9444035850911,0.015975325006373664,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019499861090167862,0.022567424490746446,0.002058410962008456,0.07942512320039673,183.77777777777777,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
2,2025-11-14 10:00:00,7932.0,0.0019093326703416927,10.0,0.0,4.0,30.0,0.07692307692307693,2025-11-14 10:00:00-05:00,667.885488086589,0.0012488715582623655,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019505101348180384,0.02156641695602298,0.002058410962008456,0.07807874132279131,183.78819444444446,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2025-11-14 10:15:00,0.0,0.0019093326703416927,,,,,,2025-11-14 10:15:00-05:00,668.743254971922,0.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.001950942365079101,0.021792794615493574,0.002058410962008456,0.07807874132279131,183.79861111111111,90.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,
4,2025-11-14 10:30:00,4500.0,0.0019099571794482283,10.0,30.0,4.0,60.0,0.15384615384615385,2025-11-14 10:30:00-05:00,670.2861267129795,0.00032708239702605724,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019515766786524916,0.02179080225049175,0.0020591957838729607,0.07813714675417291,183.80902777777777,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
5,2025-11-14 10:45:00,8053.0,0.001928076679472899,10.0,45.0,4.0,75.0,0.19230769230769232,2025-11-14 10:45:00-05:00,672.136433517078,0.009486861914833833,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.001951751328160391,0.012278893749165713,0.002059585385029676,0.06820719681788234,183.81944444444446,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6,2025-11-14 11:00:00,1202.0,0.0019234199307125942,11.0,0.0,4.0,90.0,0.23076923076923078,2025-11-14 11:00:00-05:00,671.7795569338866,-0.0024152300631414825,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019522198353291863,0.01497327970700719,0.002059585385029676,0.07079340925131984,183.82986111111111,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
7,2025-11-14 11:15:00,1200.0,0.0019299564404900557,11.0,15.0,4.0,105.0,0.2692307692307692,2025-11-14 11:15:00-05:00,673.5903322615422,0.0033983789359195438,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019530049006298265,0.011942476864357794,0.0020601848193058797,0.06747736688956375,183.84027777777777,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
8,2025-11-14 11:30:00,11088.0,0.0019544136798452924,11.0,30.0,4.0,120.0,0.3076923076923077,2025-11-14 11:30:00-05:00,674.200127346699,0.012672430756533792,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0019530049006298265,-0.0007208193587640943,0.002061422887569287,0.05475258837344264,183.85069444444446,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
9,2025-11-14 11:45:00,7976.0,0.0019806285894671725,11.0,45.0,4.0,135.0,0.34615384615384615,2025-11-14 11:45:00-05:00,674.1995692310535,0.013413183653091965,,,,,,,,,,,,,,,,,,,,,95.86675985300697,,,1.0,,,,,,,,,,,,,,,,,,,,,95.87328282524676,,,1.0,,,,,,,,,,,,,,,,,,,,,95.87564908900578,,,1.0,,0.0,,0.0,,0.0,0.0019530049006298265,-0.013946930274684792,0.0020619157392405066,0.04104108675680681,183.86111111111111,90.0,,,,,,1.053480877505571,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,95.86675985300697,0.0,,0,0,1,,,,,,,,,,,,,,,,0.0,0.0,95.86675985300697,,,
