,timestamp_level_VLN,volume_VLN,mean_vwap_15_VLN,hour_VLN,minute_VLN,day_of_week_VLN,minutes_since_open_VLN,session_progress_VLN,timestamp_level_SPY_VLN,mean_vwap_15_SPY_VLN,pct_change_VLN,10th_ptile_lag_10days_VLN,change_lag_1010th_ptile_VLN,30th_ptile_lag_10days_VLN,change_lag_1030th_ptile_VLN,50th_ptile_lag_10days_VLN,change_lag_1050th_ptile_VLN,70th_ptile_lag_10days_VLN,change_lag_1070th_ptile_VLN,90th_ptile_lag_10days_VLN,change_lag_1090th_ptile_VLN,rolling_avg_vol_10_VLN,relative_volume_10_VLN,volatility_10_VLN,rolling_mean_10_VLN,rolling_std_10_VLN,z_score_10_VLN,bb_width_10_VLN,efficiency_ratio_10_VLN,skew_10_VLN,volume_force_10_VLN,rsi_10_VLN,rsi_divergence_10_VLN,session_adj_rel_volume_10_VLN,weekday_adj_vol_10_VLN,10th_ptile_lag_25days_VLN,change_lag_2510th_ptile_VLN,30th_ptile_lag_25days_VLN,change_lag_2530th_ptile_VLN,50th_ptile_lag_25days_VLN,change_lag_2550th_ptile_VLN,70th_ptile_lag_25days_VLN,change_lag_2570th_ptile_VLN,90th_ptile_lag_25days_VLN,change_lag_2590th_ptile_VLN,rolling_avg_vol_25_VLN,relative_volume_25_VLN,volatility_25_VLN,rolling_mean_25_VLN,rolling_std_25_VLN,z_score_25_VLN,bb_width_25_VLN,efficiency_ratio_25_VLN,skew_25_VLN,volume_force_25_VLN,rsi_25_VLN,rsi_divergence_25_VLN,session_adj_rel_volume_25_VLN,weekday_adj_vol_25_VLN,10th_ptile_lag_50days_VLN,change_lag_5010th_ptile_VLN,30th_ptile_lag_50days_VLN,change_lag_5030th_ptile_VLN,50th_ptile_lag_50days_VLN,change_lag_5050th_ptile_VLN,70th_ptile_lag_50days_VLN,change_lag_5070th_ptile_VLN,90th_ptile_lag_50days_VLN,change_lag_5090th_ptile_VLN,rolling_avg_vol_50_VLN,relative_volume_50_VLN,volatility_50_VLN,rolling_mean_50_VLN,rolling_std_50_VLN,z_score_50_VLN,bb_width_50_VLN,efficiency_ratio_50_VLN,skew_50_VLN,volume_force_50_VLN,rsi_50_VLN,rsi_divergence_50_VLN,session_adj_rel_volume_50_VLN,weekday_adj_vol_50_VLN,mm_diff_10_25_VLN,risk_adj_mm_diff_10_25_VLN,mm_diff_10_50_VLN,risk_adj_mm_diff_10_50_VLN,mm_diff_25_50_VLN,risk_adj_mm_diff_25_50_VLN,15th_ptile_lead_15days_VLN,change_lead_15_15th_ptile_VLN,85th_ptile_lead_15days_VLN,change_lead_15_85th_ptile_VLN,days_since_earnings_VLN,days_before_earnings_VLN,volatility_10_x_earn_prox_VLN,relative_volume_10_x_earn_prox_VLN,z_score_10_x_earn_prox_VLN,bb_width_10_x_earn_prox_VLN,efficiency_ratio_10_x_earn_prox_VLN,rsi_10_x_earn_prox_VLN,change_lag_10_50th_ptile_x_earn_prox_VLN,volatility_Mon_Interact_VLN,volatility_Fri_Interact_VLN,relative_volume_Mon_Interact_VLN,relative_volume_Fri_Interact_VLN,z_score_Mon_Interact_VLN,z_score_Fri_Interact_VLN,bb_width_Mon_Interact_VLN,bb_width_Fri_Interact_VLN,efficiency_ratio_Mon_Interact_VLN,efficiency_ratio_Fri_Interact_VLN,rsi_Mon_Interact_VLN,rsi_Fri_Interact_VLN,pct_chg_50th_Mon_Interact_VLN,pct_chg_50th_Fri_Interact_VLN,is_open_30m_VLN,is_close_30m_VLN,is_mid_day_VLN,volatility_Open30m_VLN,volatility_Close30m_VLN,volatility_MidDay_VLN,relative_volume_Open30m_VLN,relative_volume_Close30m_VLN,relative_volume_MidDay_VLN,z_score_Open30m_VLN,z_score_Close30m_VLN,z_score_MidDay_VLN,bb_width_Open30m_VLN,bb_width_Close30m_VLN,bb_width_MidDay_VLN,efficiency_ratio_Open30m_VLN,efficiency_ratio_Close30m_VLN,efficiency_ratio_MidDay_VLN,rsi_Open30m_VLN,rsi_Close30m_VLN,rsi_MidDay_VLN,pct_chg_50th_Open30m_VLN,pct_chg_50th_Close30m_VLN,pct_chg_50th_MidDay_VLN
0,2025-11-14 09:30:00,55241.0,0.002535551699948877,9.0,30.0,4.0,0.0,0.0,2025-11-14 09:30:00-05:00,665.0798034094059,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.11304481224316136,0.0024560793089524837,-0.03134323429413636,191.16666666666666,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,2025-11-14 09:45:00,57762.0,0.0025637963995792617,9.0,45.0,4.0,15.0,0.038461538461538464,2025-11-14 09:45:00-05:00,667.9444035850911,0.011139469027965143,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.12281617430136321,0.0024560793089524837,-0.0420146820724357,191.17708333333334,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
2,2025-11-14 10:00:00,72401.0,0.0025798679494776796,10.0,0.0,4.0,30.0,0.07692307692307693,2025-11-14 10:00:00-05:00,667.885488086589,0.006268652963649979,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.12828068019890537,0.0024560793089524837,-0.04798254908754465,191.1875,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2025-11-14 10:15:00,13761.0,0.002592647815150802,10.0,15.0,4.0,45.0,0.11538461538461539,2025-11-14 10:15:00-05:00,668.743254971922,0.004953689849013232,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.13257762162944653,0.0024558717410255834,-0.0527553620379646,191.19791666666666,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
4,2025-11-14 10:30:00,37945.0,0.0026012635475322022,10.0,30.0,4.0,60.0,0.15384615384615385,2025-11-14 10:30:00-05:00,670.2861267129795,0.0033231402780786734,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.13545064042862529,0.0024556722440784687,-0.055969455148769845,191.20833333333334,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
5,2025-11-14 10:45:00,97442.0,0.0026212231631309716,10.0,45.0,4.0,75.0,0.19230769230769232,2025-11-14 10:45:00-05:00,672.136433517078,0.007673046284643048,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.14203385437466529,0.002455388157344462,-0.0632662674888104,191.21875,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6,2025-11-14 11:00:00,22664.0,0.00260267958079119,11.0,0.0,4.0,90.0,0.23076923076923078,2025-11-14 11:00:00-05:00,671.7795569338866,-0.007074400455713947,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.1359210135995008,0.002455024979187041,-0.056731763177418626,191.22916666666666,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
7,2025-11-14 11:15:00,11125.0,0.0025887453219800185,11.0,15.0,4.0,105.0,0.2692307692307692,2025-11-14 11:15:00-05:00,673.5903322615422,-0.005353812629880328,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.13126999593176428,0.002454457399754224,-0.051873747906218806,191.23958333333334,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
8,2025-11-14 11:30:00,10167.0,0.0025898335248479977,11.0,30.0,4.0,120.0,0.3076923076923077,2025-11-14 11:30:00-05:00,674.200127346699,0.0004203591827822706,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.13163502112464115,0.002452886419843753,-0.05287872895702138,191.25,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
9,2025-11-14 11:45:00,10941.0,0.0025964083117400918,11.0,45.0,4.0,135.0,0.34615384615384615,2025-11-14 11:45:00-05:00,674.1995692310535,0.0025386909347695497,,,,,,,,,,,,,,,,,,,,,73.71326357832838,,,1.0,,,,,,,,,,,,,,,,,,,,,73.9965885980724,,,1.0,,,,,,,,,,,,,,,,,,,,,74.0910348642237,,,1.0,,0.0,,0.0,,0.0,0.0022489207340953277,-0.1338339490262534,0.0024512081488273934,-0.055923470224676024,191.26041666666666,90.0,,,,,,0.8100358634981142,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,73.71326357832838,0.0,,0,0,1,,,,,,,,,,,,,,,,0.0,0.0,73.71326357832838,,,
