,timestamp_level_QCOM,volume_QCOM,mean_vwap_15_QCOM,hour_QCOM,minute_QCOM,day_of_week_QCOM,minutes_since_open_QCOM,session_progress_QCOM,timestamp_level_SPY_QCOM,mean_vwap_15_SPY_QCOM,pct_change_QCOM,10th_ptile_lag_10days_QCOM,change_lag_1010th_ptile_QCOM,30th_ptile_lag_10days_QCOM,change_lag_1030th_ptile_QCOM,50th_ptile_lag_10days_QCOM,change_lag_1050th_ptile_QCOM,70th_ptile_lag_10days_QCOM,change_lag_1070th_ptile_QCOM,90th_ptile_lag_10days_QCOM,change_lag_1090th_ptile_QCOM,rolling_avg_vol_10_QCOM,relative_volume_10_QCOM,volatility_10_QCOM,rolling_mean_10_QCOM,rolling_std_10_QCOM,z_score_10_QCOM,bb_width_10_QCOM,efficiency_ratio_10_QCOM,skew_10_QCOM,volume_force_10_QCOM,rsi_10_QCOM,rsi_divergence_10_QCOM,session_adj_rel_volume_10_QCOM,weekday_adj_vol_10_QCOM,10th_ptile_lag_25days_QCOM,change_lag_2510th_ptile_QCOM,30th_ptile_lag_25days_QCOM,change_lag_2530th_ptile_QCOM,50th_ptile_lag_25days_QCOM,change_lag_2550th_ptile_QCOM,70th_ptile_lag_25days_QCOM,change_lag_2570th_ptile_QCOM,90th_ptile_lag_25days_QCOM,change_lag_2590th_ptile_QCOM,rolling_avg_vol_25_QCOM,relative_volume_25_QCOM,volatility_25_QCOM,rolling_mean_25_QCOM,rolling_std_25_QCOM,z_score_25_QCOM,bb_width_25_QCOM,efficiency_ratio_25_QCOM,skew_25_QCOM,volume_force_25_QCOM,rsi_25_QCOM,rsi_divergence_25_QCOM,session_adj_rel_volume_25_QCOM,weekday_adj_vol_25_QCOM,10th_ptile_lag_50days_QCOM,change_lag_5010th_ptile_QCOM,30th_ptile_lag_50days_QCOM,change_lag_5030th_ptile_QCOM,50th_ptile_lag_50days_QCOM,change_lag_5050th_ptile_QCOM,70th_ptile_lag_50days_QCOM,change_lag_5070th_ptile_QCOM,90th_ptile_lag_50days_QCOM,change_lag_5090th_ptile_QCOM,rolling_avg_vol_50_QCOM,relative_volume_50_QCOM,volatility_50_QCOM,rolling_mean_50_QCOM,rolling_std_50_QCOM,z_score_50_QCOM,bb_width_50_QCOM,efficiency_ratio_50_QCOM,skew_50_QCOM,volume_force_50_QCOM,rsi_50_QCOM,rsi_divergence_50_QCOM,session_adj_rel_volume_50_QCOM,weekday_adj_vol_50_QCOM,mm_diff_10_25_QCOM,risk_adj_mm_diff_10_25_QCOM,mm_diff_10_50_QCOM,risk_adj_mm_diff_10_50_QCOM,mm_diff_25_50_QCOM,risk_adj_mm_diff_25_50_QCOM,15th_ptile_lead_15days_QCOM,change_lead_15_15th_ptile_QCOM,85th_ptile_lead_15days_QCOM,change_lead_15_85th_ptile_QCOM,days_since_earnings_QCOM,days_before_earnings_QCOM,volatility_10_x_earn_prox_QCOM,relative_volume_10_x_earn_prox_QCOM,z_score_10_x_earn_prox_QCOM,bb_width_10_x_earn_prox_QCOM,efficiency_ratio_10_x_earn_prox_QCOM,rsi_10_x_earn_prox_QCOM,change_lag_10_50th_ptile_x_earn_prox_QCOM,volatility_Mon_Interact_QCOM,volatility_Fri_Interact_QCOM,relative_volume_Mon_Interact_QCOM,relative_volume_Fri_Interact_QCOM,z_score_Mon_Interact_QCOM,z_score_Fri_Interact_QCOM,bb_width_Mon_Interact_QCOM,bb_width_Fri_Interact_QCOM,efficiency_ratio_Mon_Interact_QCOM,efficiency_ratio_Fri_Interact_QCOM,rsi_Mon_Interact_QCOM,rsi_Fri_Interact_QCOM,pct_chg_50th_Mon_Interact_QCOM,pct_chg_50th_Fri_Interact_QCOM,is_open_30m_QCOM,is_close_30m_QCOM,is_mid_day_QCOM,volatility_Open30m_QCOM,volatility_Close30m_QCOM,volatility_MidDay_QCOM,relative_volume_Open30m_QCOM,relative_volume_Close30m_QCOM,relative_volume_MidDay_QCOM,z_score_Open30m_QCOM,z_score_Close30m_QCOM,z_score_MidDay_QCOM,bb_width_Open30m_QCOM,bb_width_Close30m_QCOM,bb_width_MidDay_QCOM,efficiency_ratio_Open30m_QCOM,efficiency_ratio_Close30m_QCOM,efficiency_ratio_MidDay_QCOM,rsi_Open30m_QCOM,rsi_Close30m_QCOM,rsi_MidDay_QCOM,pct_chg_50th_Open30m_QCOM,pct_chg_50th_Close30m_QCOM,pct_chg_50th_MidDay_QCOM
0,2025-11-14 09:30:00,519961.0,0.2592898429330243,9.0,30.0,4.0,0.0,0.0,2025-11-14 09:30:00-05:00,665.0798034094059,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.05703097032420148,0.2550578457520391,-0.016321492323470445,197.77083333333334,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,2025-11-14 09:45:00,409672.0,0.2590589208703374,9.0,45.0,4.0,15.0,0.038461538461538464,2025-11-14 09:45:00-05:00,667.9444035850911,-0.0008905943251567017,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.05619041886721606,0.2550493065074385,-0.015477615476155481,197.78125,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
2,2025-11-14 10:00:00,223247.0,0.2590796974651373,10.0,0.0,4.0,30.0,0.07692307692307693,2025-11-14 10:00:00-05:00,667.885488086589,8.020026768473798e-05,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.056266106578091696,0.25501111005931576,-0.01570399937019009,197.79166666666666,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2025-11-14 10:15:00,212223.0,0.25911783939755845,10.0,15.0,4.0,45.0,0.11538461538461539,2025-11-14 10:15:00-05:00,668.743254971922,0.00014722084669038793,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.056405023429475294,0.25501111005931576,-0.01584888693032759,197.80208333333334,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
4,2025-11-14 10:30:00,265876.0,0.2601420844299124,10.0,30.0,4.0,60.0,0.15384615384615385,2025-11-14 10:30:00-05:00,670.2861267129795,0.003952815578947666,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.06012019496515534,0.2549644796094911,-0.019902988137300952,197.8125,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
5,2025-11-14 10:45:00,313324.0,0.26047559108655505,10.0,45.0,4.0,75.0,0.19230769230769232,2025-11-14 10:45:00-05:00,672.136433517078,0.0012820173151666392,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.06132359437051065,0.2549644796094911,-0.021157880683079573,197.82291666666666,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6,2025-11-14 11:00:00,187719.0,0.25985483368698314,11.0,0.0,4.0,90.0,0.23076923076923078,2025-11-14 11:00:00-05:00,671.7795569338866,-0.00238316917520931,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.05908122575134553,0.2549644796094911,-0.018819561707221863,197.83333333333334,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
7,2025-11-14 11:15:00,184771.0,0.2597537227164296,11.0,15.0,4.0,105.0,0.2692307692307692,2025-11-14 11:15:00-05:00,673.5903322615422,-0.0003891055983793468,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.058714966475130304,0.2549644796094911,-0.018437630294010757,197.84375,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
8,2025-11-14 11:30:00,143557.0,0.25975167000924854,11.0,30.0,4.0,120.0,0.3076923076923077,2025-11-14 11:30:00-05:00,674.200127346699,-7.902513040392023e-06,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.05870752789909467,0.2549644796094911,-0.01842987342328539,197.85416666666666,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
9,2025-11-14 11:45:00,188227.0,0.25933821879660957,11.0,45.0,4.0,135.0,0.34615384615384615,2025-11-14 11:45:00-05:00,674.1995692310535,-0.0015917172452606376,,,,,,,,,,,,,,,,,,,,,50.48665530731207,,,1.0,,,,,,,,,,,,,,,,,,,,,50.71696440122184,,,1.0,,,,,,,,,,,,,,,,,,,,,50.79294106451528,,,1.0,,0.0,,0.0,,0.0,0.24450229159534415,-0.057206867811877546,0.2549644796094911,-0.016865000490146248,197.86458333333334,90.0,,,,,,0.5547984099704624,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,50.48665530731207,0.0,,0,0,1,,,,,,,,,,,,,,,,0.0,0.0,50.48665530731207,,,
