,timestamp_level_MXL,volume_MXL,mean_vwap_15_MXL,hour_MXL,minute_MXL,day_of_week_MXL,minutes_since_open_MXL,session_progress_MXL,timestamp_level_SPY_MXL,mean_vwap_15_SPY_MXL,pct_change_MXL,10th_ptile_lag_10days_MXL,change_lag_1010th_ptile_MXL,30th_ptile_lag_10days_MXL,change_lag_1030th_ptile_MXL,50th_ptile_lag_10days_MXL,change_lag_1050th_ptile_MXL,70th_ptile_lag_10days_MXL,change_lag_1070th_ptile_MXL,90th_ptile_lag_10days_MXL,change_lag_1090th_ptile_MXL,rolling_avg_vol_10_MXL,relative_volume_10_MXL,volatility_10_MXL,rolling_mean_10_MXL,rolling_std_10_MXL,z_score_10_MXL,bb_width_10_MXL,efficiency_ratio_10_MXL,skew_10_MXL,volume_force_10_MXL,rsi_10_MXL,rsi_divergence_10_MXL,session_adj_rel_volume_10_MXL,weekday_adj_vol_10_MXL,10th_ptile_lag_25days_MXL,change_lag_2510th_ptile_MXL,30th_ptile_lag_25days_MXL,change_lag_2530th_ptile_MXL,50th_ptile_lag_25days_MXL,change_lag_2550th_ptile_MXL,70th_ptile_lag_25days_MXL,change_lag_2570th_ptile_MXL,90th_ptile_lag_25days_MXL,change_lag_2590th_ptile_MXL,rolling_avg_vol_25_MXL,relative_volume_25_MXL,volatility_25_MXL,rolling_mean_25_MXL,rolling_std_25_MXL,z_score_25_MXL,bb_width_25_MXL,efficiency_ratio_25_MXL,skew_25_MXL,volume_force_25_MXL,rsi_25_MXL,rsi_divergence_25_MXL,session_adj_rel_volume_25_MXL,weekday_adj_vol_25_MXL,10th_ptile_lag_50days_MXL,change_lag_5010th_ptile_MXL,30th_ptile_lag_50days_MXL,change_lag_5030th_ptile_MXL,50th_ptile_lag_50days_MXL,change_lag_5050th_ptile_MXL,70th_ptile_lag_50days_MXL,change_lag_5070th_ptile_MXL,90th_ptile_lag_50days_MXL,change_lag_5090th_ptile_MXL,rolling_avg_vol_50_MXL,relative_volume_50_MXL,volatility_50_MXL,rolling_mean_50_MXL,rolling_std_50_MXL,z_score_50_MXL,bb_width_50_MXL,efficiency_ratio_50_MXL,skew_50_MXL,volume_force_50_MXL,rsi_50_MXL,rsi_divergence_50_MXL,session_adj_rel_volume_50_MXL,weekday_adj_vol_50_MXL,mm_diff_10_25_MXL,risk_adj_mm_diff_10_25_MXL,mm_diff_10_50_MXL,risk_adj_mm_diff_10_50_MXL,mm_diff_25_50_MXL,risk_adj_mm_diff_25_50_MXL,15th_ptile_lead_15days_MXL,change_lead_15_15th_ptile_MXL,85th_ptile_lead_15days_MXL,change_lead_15_85th_ptile_MXL,days_since_earnings_MXL,days_before_earnings_MXL,volatility_10_x_earn_prox_MXL,relative_volume_10_x_earn_prox_MXL,z_score_10_x_earn_prox_MXL,bb_width_10_x_earn_prox_MXL,efficiency_ratio_10_x_earn_prox_MXL,rsi_10_x_earn_prox_MXL,change_lag_10_50th_ptile_x_earn_prox_MXL,volatility_Mon_Interact_MXL,volatility_Fri_Interact_MXL,relative_volume_Mon_Interact_MXL,relative_volume_Fri_Interact_MXL,z_score_Mon_Interact_MXL,z_score_Fri_Interact_MXL,bb_width_Mon_Interact_MXL,bb_width_Fri_Interact_MXL,efficiency_ratio_Mon_Interact_MXL,efficiency_ratio_Fri_Interact_MXL,rsi_Mon_Interact_MXL,rsi_Fri_Interact_MXL,pct_chg_50th_Mon_Interact_MXL,pct_chg_50th_Fri_Interact_MXL,is_open_30m_MXL,is_close_30m_MXL,is_mid_day_MXL,volatility_Open30m_MXL,volatility_Close30m_MXL,volatility_MidDay_MXL,relative_volume_Open30m_MXL,relative_volume_Close30m_MXL,relative_volume_MidDay_MXL,z_score_Open30m_MXL,z_score_Close30m_MXL,z_score_MidDay_MXL,bb_width_Open30m_MXL,bb_width_Close30m_MXL,bb_width_MidDay_MXL,efficiency_ratio_Open30m_MXL,efficiency_ratio_Close30m_MXL,efficiency_ratio_MidDay_MXL,rsi_Open30m_MXL,rsi_Close30m_MXL,rsi_MidDay_MXL,pct_chg_50th_Open30m_MXL,pct_chg_50th_Close30m_MXL,pct_chg_50th_MidDay_MXL
0,2025-11-14 09:30:00,50676.0,0.020263420877569792,9.0,30.0,4.0,0.0,0.0,2025-11-14 09:30:00-05:00,665.0798034094059,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.00452620876099373,0.025526111877546068,0.2597138475173119,204.76736111111111,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
1,2025-11-14 09:45:00,42441.0,0.020729580655705158,9.0,45.0,4.0,15.0,0.038461538461538464,2025-11-14 09:45:00-05:00,667.9444035850911,0.023004989184791214,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.026912085705196737,0.02558814504624726,0.23437832492790617,204.77777777777777,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
2,2025-11-14 10:00:00,17421.0,0.020530865148654747,10.0,0.0,4.0,30.0,0.07692307692307693,2025-11-14 10:00:00-05:00,667.885488086589,-0.009586084270147621,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.017493697493417528,0.025707790173205902,0.2521532817573625,204.78819444444446,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,0,0,,,,,,,,,,,,,,,,,,,,,
3,2025-11-14 10:15:00,11324.0,0.020354511382297585,10.0,15.0,4.0,45.0,0.11538461538461539,2025-11-14 10:15:00-05:00,668.743254971922,-0.008589689965827763,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.008981152846073258,0.025830037296833277,0.2690079762512886,204.79861111111111,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
4,2025-11-14 10:30:00,10503.0,0.020478423806385832,10.0,30.0,4.0,60.0,0.15384615384615385,2025-11-14 10:30:00-05:00,670.2861267129795,0.006087713026411201,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.014977686018205903,0.025973107114754646,0.26831573368724765,204.80902777777777,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
5,2025-11-14 10:45:00,21056.0,0.02064074039389004,10.0,45.0,4.0,75.0,0.19230769230769232,2025-11-14 10:45:00-05:00,672.136433517078,0.007926224646918056,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.022723796747274098,0.02604524993730037,0.26183700004337745,204.81944444444446,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
6,2025-11-14 11:00:00,14439.0,0.020641132766948154,11.0,0.0,4.0,90.0,0.23076923076923078,2025-11-14 11:00:00-05:00,671.7795569338866,1.9009640673139927e-05,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.02274237406358817,0.026119806345934377,0.2654250442959706,204.82986111111111,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
7,2025-11-14 11:15:00,23230.0,0.020779600702366043,11.0,15.0,4.0,105.0,0.2692307692307692,2025-11-14 11:15:00-05:00,673.5903322615422,0.006708349632807531,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.02925447445343803,0.026162501618023463,0.2590473701953524,204.84027777777777,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
8,2025-11-14 11:30:00,14270.0,0.020799178660701842,11.0,30.0,4.0,120.0,0.3076923076923077,2025-11-14 11:30:00-05:00,674.200127346699,0.000942172018424392,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.030168222816479063,0.026182240647338498,0.258811276851401,204.85069444444446,90.0,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0,0,1,,,,,,,,,,,,,,,,,,,,,
9,2025-11-14 11:45:00,11213.0,0.02080809904802749,11.0,45.0,4.0,135.0,0.34615384615384615,2025-11-14 11:45:00-05:00,674.1995692310535,0.0004288817107236387,,,,,,,,,,,,,,,,,,,,,71.15861514372511,,,1.0,,,,,,,,,,,,,,,,,,,,,71.08243962765786,,,1.0,,,,,,,,,,,,,,,,,,,,,71.05759430183505,,,1.0,,0.0,,0.0,,0.0,0.020171704404466032,-0.030583987614273844,0.02651669195771101,0.27434475857248813,204.86111111111111,90.0,,,,,,0.7819628037771992,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,71.15861514372511,0.0,,0,0,1,,,,,,,,,,,,,,,,0.0,0.0,71.15861514372511,,,
